Species,Common name,Maximum longevity (yrs)
laminata,Escarpia laminata,300
luymesi,Lamellibrachia luymesi,250
jonesi,Seepiophila jonesi,300
hasselti,Australian redback spider,unknown
pulicaria,Daphnia,0.19
melanogaster,Fruit fly,0.3
angusticollis,Telostylinus angusticollis,0.05
capitata,Mediterranean fruit fly,0.49
hirsutus,Mealybug,0.08
mellifera,Honey bee,8
terrestris,Buff tailed bumblebee,0.27
obscurior,Cardiocondyla obscurior,0.5
niger,Black garden ant,28
dentata,Pheidole dentata,0.4
anynana,Squinting bush brown,0.5
commodus,Black field cricket,unknown
microptera,Eastern lubber grasshopper,unknown
morosus,Indian stick insect,unknown
americanus,American lobster,100
mexicanus,Mexican tetra,15
formosa,Least killifish,unknown
eleginoides,Patagonian toothfish,50
scaber,Smooth leatherjacket,17.1
truei,Coastal tailed frog,14
bombina,Firebelly toad,20
orientalis,Oriental firebelly toad,15.8
variegata,Yellow-bellied toad,29
americanus,American toad,36
boreas,Western toad,11.5
californicus,Arroyo toad,8
canorus,Yosemite toad,15
cognatus,Great plains toad,10.7
debilis,Green toad,12.4
hemiophrys,Canadian toad,13.3
punctatus,Red-spotted toad,11.3
retiformis,Sonoran green toad,15.3
terrestris,Southern toad,10
varius,Veragoa stubfoot toad,10
bufo,Common European toad,40
alvarius,"Sonoran desert toad, or Colorado river toad",15.4
asperginis,Kihansi spray toad,5
lemur,Ridge-headed toad,10.7
peltocephala,Cuban toad,20
viridis,European green toad,11.9
blombergi,Colombian giant toad,28.7
arenarum,Argentine toad,unknown
marina,Cane toad,24.8
schneideri,Eurura toad,15.1
aurita,Common horned frog,12.8
calcarata,Colombian horned frog,15.9
cornuta,Amazonian horned frog,10.3
ornata,Ornate horned frog,14.7
goliath,Goliath frog,5.9
auratus,Green and black dart-poison frog,20.5
leucomelas,Yellow-banded poison frog,11.5
tinctorius,Blue poison-dart frog,unknown
histrionica,Kokoe-pa poison dart frog,9.1
pumilio,Strawberry poison frog,7.5
vittatus,Golfo dulce poison-dart frog,unknown
occipitalis,African tigrine frog,10.9
blanchardi,Blanchard's cricket frog,unknown
crepitans,Northern cricket frog,4.9
spatulata,Treefrog,12.8
arborea,European tree frog,22
chrysoscelis,Cope's gray treefrog,7.8
cinerea,Green treefrog,unknown
gratiosa,Barking treefrog,12.5
japonica,Japanese treefrog,8.9
squirella,Squirrel treefrog,8.5
versicolor,Gray treefrog,7.8
rosenbergi,Rosenberg's treefrog,unknown
caerulea,Australian green treefrog,20
septentrionalis,Cuban treefrog,12.9
vastus,Hispaniola giant treefrog,6.6
dacnicolor,Mexican leaf frog,8.7
crucifer,Spring peeper,unknown
paradoxa,Paradox frog,11
baudinii,Mexican treefrog,6.3
fodiens,Lowland burrowing treefrog,5.1
phaeota,Masked treefrog,4.1
venulosus,Marbled treefrog,10.5
pentadactylus,Tungara frog,18.8
aurantiaca,Golden mantella,10.9
