Gene ID;Entrez Gene ID;Gene Symbol;Gene Name;Organism;Unigene ID;Ensembl ID;UniProt ID;Alias;Lifespan Effect;Phenotype Description;Longevity Influence;Max Lifespan Change;Avg Lifespan Change;Method;Bibliographic reference
831;42186;14-3-3epsilon;CG31196 gene product from transcript CG31196-RA;Drosophila melanogaster;;FBgn0020238;;14-3-3 14-3-3 epsilon 14-3-3-e 14-3-3-epsilon 14-3;increase;Loss of 14-3-3e results in increased stress-induced apoptosis, growth repression and extended lifespan of flies, in a dFoxO dependent manner. Increased expression of 14-3-3e also reverts FoxO-induced growth defects. No effect on lifespan was observed when overexpressing 14-3-3e in adipose tissue, suggesting that endogenous FoxO activity in this tissue is low under normal conditions. ;anti;;49;Mutations;2384: Nielsen et al. (2008) "14-3-3 Epsilon antagonizes FoxO to control growth, apoptosis and longevity in Drosophila."  Aging Cell 7(5):688-699 (18665908)
2089;40575;5-HT2A;5-hydroxytryptamine (serotonin) receptor 2A;Drosophila melanogaster;;;;;increase;Flies were subjected to several control diets: sucrose only, yeast only and fixed diet. Flies were also subjected to a choice diet. When 5-HT2A mutant animals were aged in a choice environment there was a 90% increase in mean lifespan.;anti;;90;Deletion;4393: Ro et al. (2016) "Serotonin signaling mediates protein valuation and aging."  Elife 5: (27572262)
1553;852380;AAC3;ADP/ATP Carrier;Saccharomyces cerevisiae;;YBR085W;;ANC3;increase;Replicative lifespan increased by 15% in the alpha strain ;anti;;15;Deletion;2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
1393;855581;AAH1;Adenine AminoHydrolase;Saccharomyces cerevisiae;;YNL141W;;;increase;Mean chronological lifespan increased in the a strain ;anti;;;Deletion;2501: Matecic et al. (2010) "A microarray-based genetic screen for yeast chronological aging factors."  PLoS Genet. 6(4):e1000921 (20421943)
1;181727;aak-2;AMP-Activated Kinase;Caenorhabditis elegans;Cel.17479;T01C8.1;;;decrease;Could be a sensor that couples energy levels and insulin-like signals to lifespan. Knockout mutants have a 12% shorter lifespan.;pro;;12;Knockout;2232: Apfeld et al. (2004) "The AMP-activated protein kinase AAK-2 links energy levels and insulin-like signals to lifespan in C. elegans."  Genes Dev. 18(24):3004-3009 (15574588)
1;181727;aak-2;AMP-Activated Kinase;Caenorhabditis elegans;Cel.17479;T01C8.1;;;decrease;37% decrease in median lifespna in daf-2 background and 54% decrease in lifespan in a wild-type background;pro;;54;RNA interference;2239: Samuelson et al. (2007) "Gene activities that mediate increased life span of C. elegans insulin-like signaling mutants."  Genes Dev. 21(22):2976-2994 (18006689)
1;181727;aak-2;AMP-Activated Kinase;Caenorhabditis elegans;Cel.17479;T01C8.1;;;increases;Constitutively activated aak-2 increased worm lifespan however induced detrimental pleiotropic side effects including small body size and a reduced reproductive capacity. Worms also showed increased heat resistance, demonstrating a 125% increase in median lifespan at 33 degrees Celsius compared to wild type animals. The lifespan extension effect was dependent on crtc-1 at low temperatures but not high ones. ;pro;;;Overexpression;4423: Burkewitz et al. (2015) "Neuronal CRTC-1 governs systemic mitochondrial metabolism and lifespan via a catecholamine signal."  Cell 160(5):842-855 (25723162)
1;181727;aak-2;AMP-Activated Kinase;Caenorhabditis elegans;Cel.17479;T01C8.1;;;increase;Transgenic animals with a higher aak-2 gene dose live on average 13% longer than controls.;pro;;13;Overexpression;2232: Apfeld et al. (2004) "The AMP-activated protein kinase AAK-2 links energy levels and insulin-like signals to lifespan in C. elegans."  Genes Dev. 18(24):3004-3009 (15574588)
1;181727;aak-2;AMP-Activated Kinase;Caenorhabditis elegans;Cel.17479;T01C8.1;;;increases;Constitutively activated aak-2 increased worm lifespan however induced detrimental pleiotropic side effects including small body size and a reduced reproductive capacity. Worms also showed increased heat resistance, demonstrating a 125% increase in median lifespan at 33 degrees Celsius compared to wild type animals. The lifespan extension effect was dependent on crtc-1 at low temperatures but not high ones. ;;;;Overexpression;4515: Tabrez et al. (2017) "Differential alternative splicing coupled to nonsense-mediated decay of mRNA ensures dietary restriction-induced longevity."  Nat Commun 8(1):306 (28824175)
1;181727;aak-2;AMP-Activated Kinase;Caenorhabditis elegans;Cel.17479;T01C8.1;;;increases;Constitutively activated aak-2 increased worm lifespan however induced detrimental pleiotropic side effects including small body size and a reduced reproductive capacity. Worms also showed increased heat resistance, demonstrating a 125% increase in median lifespan at 33 degrees Celsius compared to wild type animals. The lifespan extension effect was dependent on crtc-1 at low temperatures but not high ones. ;pro;;;Overexpression;4515: Tabrez et al. (2017) "Differential alternative splicing coupled to nonsense-mediated decay of mRNA ensures dietary restriction-induced longevity."  Nat Commun 8(1):306 (28824175)
1;181727;aak-2;AMP-Activated Kinase;Caenorhabditis elegans;Cel.17479;T01C8.1;;;increases;Constitutively activated aak-2 increased worm lifespan however induced detrimental pleiotropic side effects including small body size and a reduced reproductive capacity. Worms also showed increased heat resistance, demonstrating a 125% increase in median lifespan at 33 degrees Celsius compared to wild type animals. The lifespan extension effect was dependent on crtc-1 at low temperatures but not high ones. ;pro;;;Overexpression;4515: Tabrez et al. (2017) "Differential alternative splicing coupled to nonsense-mediated decay of mRNA ensures dietary restriction-induced longevity."  Nat Commun 8(1):306 (28824175)
