What is the longevity effect of GG variant of rs6435324? 	pro longevity
What is the longevity effect of GA variant of rs15763? 	pro longevity
What is effect of CT variant in rs7412?	pro longevity
What is effect of TT variant in rs7412?	pro longevity
What is effect of CC variant in rs7412?	no effect
What is cat longevity?	30
What animal live longest?	Hexactinellid sponge or Scolymastra joubini
What is effect of gene 14-3-3epsilon on longevity?	anti longevity
What is effect of gene Cel.17479 on longevity?	pro longevity
What is effect of homogeneous C allele in rsids rs429358 on longevity?	anti longevity
What is effect of heterogeneous T allele in rsids rs10491334 on longevity?	small pro longevity
What is black body radiation?	No answere.
