rsid	chrom	pos	symbol	gene_description	disease_names	rev_stat	sig	clinvar_id	source	text
rs7412	chr19	44908822	APOE	The protein encoded by this gene is a major apoprotein of the chylomicron. It binds to a specific liver and peripheral cell receptor, and is essential for the normal catabolism of triglyceride-rich lipoprotein constituents. This gene maps to chromosome 19 in a cluster with the related apolipoprotein C1 and C2 genes. Mutations in this gene result in familial dysbetalipoproteinemia, or type III hyperlipoproteinemia (HLP III), in which increased plasma cholesterol and triglycerides are the consequence of impaired clearance of chylomicron and VLDL remnants. [provided by RefSeq, Jun 2016]	Hypercholesterolemia|Warfarin response|Familial type 3 hyperlipoproteinemia|not specified|atorvastatin response - Efficacy|not provided	reviewed by expert panel	drug response	17848	https://www.ncbi.nlm.nih.gov/clinvar/variation/17848	rs7412 is located in chr19 chromosome with position 44908822 which is in the gene APOE. This gene has the following description: The protein encoded by this gene is a major apoprotein of the chylomicron. It binds to a specific liver and peripheral cell receptor, and is essential for the normal catabolism of triglyceride-rich lipoprotein constituents. This gene maps to chromosome 19 in a cluster with the related apolipoprotein C1 and C2 genes. Mutations in this gene result in familial dysbetalipoproteinemia, or type III hyperlipoproteinemia (HLP III), in which increased plasma cholesterol and triglycerides are the consequence of impaired clearance of chylomicron and VLDL remnants. [provided by RefSeq, Jun 2016] This SNP can be associated with Hypercholesterolemia|Warfarin response|Familial type 3 hyperlipoproteinemia|not specified|atorvastatin response - Efficacy|not provided. Those associations have drug response clinical significance and have review status: reviewed by expert panel. rs7412has the following disease references: Human Phenotype Ontology:HP:0003124,Human Phenotype Ontology:HP:0008154,Human Phenotype Ontology:HP:0008173,Human Phenotype Ontology:HP:0008359,MeSH:D006937,MedGen:C0020443,SNOMED CT:238076009|MONDO:MONDO:0007390,MedGen:C0750384,OMIM:122700|MONDO:MONDO:0018473,MedGen:C0020479,OMIM:617347,Orphanet:ORPHA412,SNOMED CT:398796005|MedGen:CN169374|MedGen:CN236484|MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/17848
rs1799752	chr17	63488530	ACE	This gene encodes an enzyme involved in blood pressure regulation and electrolyte balance. It catalyzes the conversion of angiotensin I into a physiologically active peptide angiotensin II. Angiotensin II is a potent vasopressor and aldosterone-stimulating peptide that controls blood pressure and fluid-electrolyte balance. This angiotensin converting enzyme (ACE) also inactivates the vasodilator protein, bradykinin. Accordingly, the encoded enzyme increases blood pressure and is a drug target of ACE inhibitors, which are often prescribed to reduce blood pressure. This enzyme additionally plays a role in fertility through its ability to cleave and release GPI-anchored membrane proteins in spermatozoa. Many studies have associated the presence or absence of a 287 bp Alu repeat element in this gene with the levels of circulating enzyme. This polymorphism, as well as mutations in this gene, have been implicated in a wide variety of diseases including cardiovascular pathophysiologies, psoriasis, renal disease, stroke, and Alzheimer&apos;s disease. Regulation of the homologous ACE2 gene may be involved in progression of disease caused by several human coronaviruses, including SARS-CoV and SARS-CoV-2. Alternative splicing results in multiple transcript variants encoding both somatic (sACE) and male-specific testicular (tACE) isoforms. [provided by RefSeq, Sep 2020]	captopril response - Efficacy	reviewed by expert panel	drug response	375659	https://www.ncbi.nlm.nih.gov/clinvar/variation/375659	rs1799752 is located in chr17 chromosome with position 63488530 which is in the gene ACE. This gene has the following description: This gene encodes an enzyme involved in blood pressure regulation and electrolyte balance. It catalyzes the conversion of angiotensin I into a physiologically active peptide angiotensin II. Angiotensin II is a potent vasopressor and aldosterone-stimulating peptide that controls blood pressure and fluid-electrolyte balance. This angiotensin converting enzyme (ACE) also inactivates the vasodilator protein, bradykinin. Accordingly, the encoded enzyme increases blood pressure and is a drug target of ACE inhibitors, which are often prescribed to reduce blood pressure. This enzyme additionally plays a role in fertility through its ability to cleave and release GPI-anchored membrane proteins in spermatozoa. Many studies have associated the presence or absence of a 287 bp Alu repeat element in this gene with the levels of circulating enzyme. This polymorphism, as well as mutations in this gene, have been implicated in a wide variety of diseases including cardiovascular pathophysiologies, psoriasis, renal disease, stroke, and Alzheimer&apos;s disease. Regulation of the homologous ACE2 gene may be involved in progression of disease caused by several human coronaviruses, including SARS-CoV and SARS-CoV-2. Alternative splicing results in multiple transcript variants encoding both somatic (sACE) and male-specific testicular (tACE) isoforms. [provided by RefSeq, Sep 2020] This SNP can be associated with captopril response - Efficacy. Those associations have drug response clinical significance and have review status: reviewed by expert panel. rs1799752has the following disease references: MedGen:CN236493. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/375659
rs1800795	chr7	22727026	IL6	This gene encodes a cytokine that functions in inflammation and the maturation of B cells. In addition, the encoded protein has been shown to be an endogenous pyrogen capable of inducing fever in people with autoimmune diseases or infections. The protein is primarily produced at sites of acute and chronic inflammation, where it is secreted into the serum and induces a transcriptional inflammatory response through interleukin 6 receptor, alpha. The functioning of this gene is implicated in a wide variety of inflammation-associated disease states, including suspectibility to diabetes mellitus and systemic juvenile rheumatoid arthritis. Elevated levels of the encoded protein have been found in virus infections, including COVID-19 (disease caused by SARS-CoV-2). [provided by RefSeq, Aug 2020]	Diabetes mellitus, type 1, susceptibility to|Intracranial hemorrhage in brain cerebrovascular malformations, susceptibility to|Rheumatoid arthritis, systemic juvenile, susceptibility to|Kaposi sarcoma|Crohn disease-associated growth failure, susceptibility to|Diabetes mellitus type 2, susceptibility to	no assertion criteria provided	risk factor	14718	https://www.ncbi.nlm.nih.gov/clinvar/variation/14718	rs1800795 is located in chr7 chromosome with position 22727026 which is in the gene IL6. This gene has the following description: This gene encodes a cytokine that functions in inflammation and the maturation of B cells. In addition, the encoded protein has been shown to be an endogenous pyrogen capable of inducing fever in people with autoimmune diseases or infections. The protein is primarily produced at sites of acute and chronic inflammation, where it is secreted into the serum and induces a transcriptional inflammatory response through interleukin 6 receptor, alpha. The functioning of this gene is implicated in a wide variety of inflammation-associated disease states, including suspectibility to diabetes mellitus and systemic juvenile rheumatoid arthritis. Elevated levels of the encoded protein have been found in virus infections, including COVID-19 (disease caused by SARS-CoV-2). [provided by RefSeq, Aug 2020] This SNP can be associated with Diabetes mellitus, type 1, susceptibility to|Intracranial hemorrhage in brain cerebrovascular malformations, susceptibility to|Rheumatoid arthritis, systemic juvenile, susceptibility to|Kaposi sarcoma|Crohn disease-associated growth failure, susceptibility to|Diabetes mellitus type 2, susceptibility to. Those associations have risk factor clinical significance and have review status: no assertion criteria provided. rs1800795has the following disease references: .|.|.|Human Phenotype Ontology:HP:0100726,MONDO:MONDO:0005055,MedGen:C0036220,Orphanet:ORPHA33276,SNOMED CT:109385007,SNOMED CT:49937004|MedGen:C2675113|MedGen:C3837967. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/14718
rs1800629	chr6	31575254	TNF	This gene encodes a multifunctional proinflammatory cytokine that belongs to the tumor necrosis factor (TNF) superfamily. This cytokine is mainly secreted by macrophages. It can bind to, and thus functions through its receptors TNFRSF1A/TNFR1 and TNFRSF1B/TNFBR. This cytokine is involved in the regulation of a wide spectrum of biological processes including cell proliferation, differentiation, apoptosis, lipid metabolism, and coagulation. This cytokine has been implicated in a variety of diseases, including autoimmune diseases, insulin resistance, psoriasis, rheumatoid arthritis ankylosing spondylitis, tuberculosis, autosomal dominant polycystic kidney disease, and cancer. Mutations in this gene affect susceptibility to cerebral malaria, septic shock, and Alzheimer disease. Knockout studies in mice also suggested the neuroprotective function of this cytokine. [provided by RefSeq, Aug 2020]	Human immunodeficiency virus dementia, susceptibility to|Migraine without aura, susceptibility to|Septic shock, susceptibility to|Susceptibility to severe coronavirus disease (COVID-19)|Susceptibility to severe coronavirus disease (COVID-19) due to high plasma levels of TNF, TNFR, and/or TNFR4|Endometriosis|Inherited susceptibility to asthma|Psoriatic arthritis, susceptibility to|Malaria, cerebral, susceptibility to|Systemic lupus erythematosus, susceptibility to|etanercept response - Efficacy	reviewed by expert panel	drug response	225964	https://www.ncbi.nlm.nih.gov/clinvar/variation/225964	rs1800629 is located in chr6 chromosome with position 31575254 which is in the gene TNF. This gene has the following description: This gene encodes a multifunctional proinflammatory cytokine that belongs to the tumor necrosis factor (TNF) superfamily. This cytokine is mainly secreted by macrophages. It can bind to, and thus functions through its receptors TNFRSF1A/TNFR1 and TNFRSF1B/TNFBR. This cytokine is involved in the regulation of a wide spectrum of biological processes including cell proliferation, differentiation, apoptosis, lipid metabolism, and coagulation. This cytokine has been implicated in a variety of diseases, including autoimmune diseases, insulin resistance, psoriasis, rheumatoid arthritis ankylosing spondylitis, tuberculosis, autosomal dominant polycystic kidney disease, and cancer. Mutations in this gene affect susceptibility to cerebral malaria, septic shock, and Alzheimer disease. Knockout studies in mice also suggested the neuroprotective function of this cytokine. [provided by RefSeq, Aug 2020] This SNP can be associated with Human immunodeficiency virus dementia, susceptibility to|Migraine without aura, susceptibility to|Septic shock, susceptibility to|Susceptibility to severe coronavirus disease (COVID-19)|Susceptibility to severe coronavirus disease (COVID-19) due to high plasma levels of TNF, TNFR, and/or TNFR4|Endometriosis|Inherited susceptibility to asthma|Psoriatic arthritis, susceptibility to|Malaria, cerebral, susceptibility to|Systemic lupus erythematosus, susceptibility to|etanercept response - Efficacy. Those associations have drug response clinical significance and have review status: reviewed by expert panel. rs1800629has the following disease references: .|.|.|.|.|Human Phenotype Ontology:HP:0030013,Human Phenotype Ontology:HP:0030127,MONDO:MONDO:0005133,MeSH:D004715,MedGen:C0014175|MONDO:MONDO:0010940,MedGen:C1869116,OMIM:600807|MONDO:MONDO:0100232,MedGen:C1835223,OMIM:607507|MedGen:C1855457|MedGen:C3862275|MedGen:CN236553. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/225964
rs662	chr7	95308134	PON1	This gene encodes a member of the paraoxonase family of enzymes and exhibits lactonase and ester hydrolase activity. Following synthesis in the kidney and liver, the enzyme is secreted into the circulation, where it binds to high density lipoprotein (HDL) particles and hydrolyzes thiolactones and xenobiotics, including paraoxon, a metabolite of the insecticide parathion. Polymorphisms in this gene may be associated with coronary artery disease and diabetic retinopathy. The gene is found in a cluster of three related paraoxonase genes on chromosome 7. [provided by RefSeq, Aug 2017]	Enzyme activity finding|Coronary artery disease, susceptibility to|Coronary artery spasm 2, susceptibility to|not provided	criteria provided, single submitter	Benign	13735	https://www.ncbi.nlm.nih.gov/clinvar/variation/13735	rs662 is located in chr7 chromosome with position 95308134 which is in the gene PON1. This gene has the following description: This gene encodes a member of the paraoxonase family of enzymes and exhibits lactonase and ester hydrolase activity. Following synthesis in the kidney and liver, the enzyme is secreted into the circulation, where it binds to high density lipoprotein (HDL) particles and hydrolyzes thiolactones and xenobiotics, including paraoxon, a metabolite of the insecticide parathion. Polymorphisms in this gene may be associated with coronary artery disease and diabetic retinopathy. The gene is found in a cluster of three related paraoxonase genes on chromosome 7. [provided by RefSeq, Aug 2017] This SNP can be associated with Enzyme activity finding|Coronary artery disease, susceptibility to|Coronary artery spasm 2, susceptibility to|not provided. Those associations have Benign clinical significance and have review status: criteria provided, single submitter. rs662has the following disease references: MedGen:C1827841,SNOMED CT:424017009|MedGen:C1840169|MedGen:C3149706|MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/13735
rs1008438	chr6	31815431	HSPA1A	This intronless gene encodes a 70kDa heat shock protein which is a member of the heat shock protein 70 family. In conjuction with other heat shock proteins, this protein stabilizes existing proteins against aggregation and mediates the folding of newly translated proteins in the cytosol and in organelles. It is also involved in the ubiquitin-proteasome pathway through interaction with the AU-rich element RNA-binding protein 1. The gene is located in the major histocompatibility complex class III region, in a cluster with two closely related genes which encode similar proteins. [provided by RefSeq, Jul 2008]	Chronic obstructive pulmonary disease	no assertion criteria provided	association	694515	https://www.ncbi.nlm.nih.gov/clinvar/variation/694515	rs1008438 is located in chr6 chromosome with position 31815431 which is in the gene HSPA1A. This gene has the following description: This intronless gene encodes a 70kDa heat shock protein which is a member of the heat shock protein 70 family. In conjuction with other heat shock proteins, this protein stabilizes existing proteins against aggregation and mediates the folding of newly translated proteins in the cytosol and in organelles. It is also involved in the ubiquitin-proteasome pathway through interaction with the AU-rich element RNA-binding protein 1. The gene is located in the major histocompatibility complex class III region, in a cluster with two closely related genes which encode similar proteins. [provided by RefSeq, Jul 2008] This SNP can be associated with Chronic obstructive pulmonary disease. Those associations have association clinical significance and have review status: no assertion criteria provided. rs1008438has the following disease references: Human Phenotype Ontology:HP:0006510,MONDO:MONDO:0005002,MedGen:C0024117. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/694515
rs28940579	chr16	3243310	SERPINE1	This gene encodes a member of the serine proteinase inhibitor (serpin) superfamily. This member is the principal inhibitor of tissue plasminogen activator (tPA) and urokinase (uPA), and hence is an inhibitor of fibrinolysis. The protein also functions as a component of innate antiviral immunity. Defects in this gene are the cause of plasminogen activator inhibitor-1 deficiency (PAI-1 deficiency), and high concentrations of the gene product are associated with thrombophilia. [provided by RefSeq, Aug 2020]	Familial Mediterranean fever, autosomal dominant|Acute febrile neutrophilic dermatosis|Familial Mediterranean fever|Inborn genetic diseases|not provided	criteria provided, multiple submitters, no conflicts	Pathogenic/Likely pathogenic	2540	https://www.ncbi.nlm.nih.gov/clinvar/variation/2540	rs28940579 is located in chr16 chromosome with position 3243310 which is in the gene SERPINE1. This gene has the following description: This gene encodes a member of the serine proteinase inhibitor (serpin) superfamily. This member is the principal inhibitor of tissue plasminogen activator (tPA) and urokinase (uPA), and hence is an inhibitor of fibrinolysis. The protein also functions as a component of innate antiviral immunity. Defects in this gene are the cause of plasminogen activator inhibitor-1 deficiency (PAI-1 deficiency), and high concentrations of the gene product are associated with thrombophilia. [provided by RefSeq, Aug 2020] This SNP can be associated with Familial Mediterranean fever, autosomal dominant|Acute febrile neutrophilic dermatosis|Familial Mediterranean fever|Inborn genetic diseases|not provided. Those associations have Pathogenic/Likely pathogenic clinical significance and have review status: criteria provided, multiple submitters, no conflicts. rs28940579has the following disease references: MONDO:MONDO:0007601,MedGen:C1851347,OMIM:134610|MONDO:MONDO:0011959,MedGen:C0085077,OMIM:608068,Orphanet:ORPHA3243,SNOMED CT:84625002|MONDO:MONDO:0018088,MedGen:C0031069,OMIM:249100,Orphanet:ORPHA342,SNOMED CT:12579009|MeSH:D030342,MedGen:C0950123|MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/2540
rs4646	chr15	51210647	CYP19A1	This gene encodes a member of the cytochrome P450 superfamily of enzymes. The cytochrome P450 proteins are monooxygenases which catalyze many reactions involved in drug metabolism and synthesis of cholesterol, steroids and other lipids. This protein localizes to the endoplasmic reticulum and catalyzes the last steps of estrogen biosynthesis. Mutations in this gene can result in either increased or decreased aromatase activity; the associated phenotypes suggest that estrogen functions both as a sex steroid hormone and in growth or differentiation. Alternative promoter use and alternative splicing results in multiple transcript variants that have different tissue specificities. [provided by RefSeq, Dec 2016]	Aromatase deficiency|not provided	criteria provided, multiple submitters, no conflicts	Benign	316467	https://www.ncbi.nlm.nih.gov/clinvar/variation/316467	rs4646 is located in chr15 chromosome with position 51210647 which is in the gene CYP19A1. This gene has the following description: This gene encodes a member of the cytochrome P450 superfamily of enzymes. The cytochrome P450 proteins are monooxygenases which catalyze many reactions involved in drug metabolism and synthesis of cholesterol, steroids and other lipids. This protein localizes to the endoplasmic reticulum and catalyzes the last steps of estrogen biosynthesis. Mutations in this gene can result in either increased or decreased aromatase activity; the associated phenotypes suggest that estrogen functions both as a sex steroid hormone and in growth or differentiation. Alternative promoter use and alternative splicing results in multiple transcript variants that have different tissue specificities. [provided by RefSeq, Dec 2016] This SNP can be associated with Aromatase deficiency|not provided. Those associations have Benign clinical significance and have review status: criteria provided, multiple submitters, no conflicts. rs4646has the following disease references: MONDO:MONDO:0013301,MedGen:C1960539,OMIM:613546,Orphanet:ORPHA91|MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/316467
rs3803304	chr14	104772809	AKT1	This gene encodes one of the three members of the human AKT serine-threonine protein kinase family which are often referred to as protein kinase B alpha, beta, and gamma. These highly similar AKT proteins all have an N-terminal pleckstrin homology domain, a serine/threonine-specific kinase domain and a C-terminal regulatory domain. These proteins are phosphorylated by phosphoinositide 3-kinase (PI3K). AKT/PI3K forms a key component of many signalling pathways that involve the binding of membrane-bound ligands such as receptor tyrosine kinases, G-protein coupled receptors, and integrin-linked kinase. These AKT proteins therefore regulate a wide variety of cellular functions including cell proliferation, survival, metabolism, and angiogenesis in both normal and malignant cells. AKT proteins are recruited to the cell membrane by phosphatidylinositol 3,4,5-trisphosphate (PIP3) after phosphorylation of phosphatidylinositol 4,5-bisphosphate (PIP2) by PI3K. Subsequent phosphorylation of both threonine residue 308 and serine residue 473 is required for full activation of the AKT1 protein encoded by this gene. Phosphorylation of additional residues also occurs, for example, in response to insulin growth factor-1 and epidermal growth factor. Protein phosphatases act as negative regulators of AKT proteins by dephosphorylating AKT or PIP3. The PI3K/AKT signalling pathway is crucial for tumor cell survival. Survival factors can suppress apoptosis in a transcription-independent manner by activating AKT1 which then phosphorylates and inactivates components of the apoptotic machinery. AKT proteins also participate in the mammalian target of rapamycin (mTOR) signalling pathway which controls the assembly of the eukaryotic translation initiation factor 4F (eIF4E) complex and this pathway, in addition to responding to extracellular signals from growth factors and cytokines, is disregulated in many cancers. Mutations in this gene are associated with multiple types of cancer and excessive tissue growth including Proteus syndrome and Cowden syndrome 6, and breast, colorectal, and ovarian cancers. Multiple alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Jul 2020]	not provided	criteria provided, single submitter	Benign	1281623	https://www.ncbi.nlm.nih.gov/clinvar/variation/1281623	rs3803304 is located in chr14 chromosome with position 104772809 which is in the gene AKT1. This gene has the following description: This gene encodes one of the three members of the human AKT serine-threonine protein kinase family which are often referred to as protein kinase B alpha, beta, and gamma. These highly similar AKT proteins all have an N-terminal pleckstrin homology domain, a serine/threonine-specific kinase domain and a C-terminal regulatory domain. These proteins are phosphorylated by phosphoinositide 3-kinase (PI3K). AKT/PI3K forms a key component of many signalling pathways that involve the binding of membrane-bound ligands such as receptor tyrosine kinases, G-protein coupled receptors, and integrin-linked kinase. These AKT proteins therefore regulate a wide variety of cellular functions including cell proliferation, survival, metabolism, and angiogenesis in both normal and malignant cells. AKT proteins are recruited to the cell membrane by phosphatidylinositol 3,4,5-trisphosphate (PIP3) after phosphorylation of phosphatidylinositol 4,5-bisphosphate (PIP2) by PI3K. Subsequent phosphorylation of both threonine residue 308 and serine residue 473 is required for full activation of the AKT1 protein encoded by this gene. Phosphorylation of additional residues also occurs, for example, in response to insulin growth factor-1 and epidermal growth factor. Protein phosphatases act as negative regulators of AKT proteins by dephosphorylating AKT or PIP3. The PI3K/AKT signalling pathway is crucial for tumor cell survival. Survival factors can suppress apoptosis in a transcription-independent manner by activating AKT1 which then phosphorylates and inactivates components of the apoptotic machinery. AKT proteins also participate in the mammalian target of rapamycin (mTOR) signalling pathway which controls the assembly of the eukaryotic translation initiation factor 4F (eIF4E) complex and this pathway, in addition to responding to extracellular signals from growth factors and cytokines, is disregulated in many cancers. Mutations in this gene are associated with multiple types of cancer and excessive tissue growth including Proteus syndrome and Cowden syndrome 6, and breast, colorectal, and ovarian cancers. Multiple alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Jul 2020] This SNP can be associated with not provided. Those associations have Benign clinical significance and have review status: criteria provided, single submitter. rs3803304has the following disease references: MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/1281623
rs1002149	chr8	30728221	GSR	This gene encodes a member of the class-I pyridine nucleotide-disulfide oxidoreductase family. This enzyme is a homodimeric flavoprotein. It is a central enzyme of cellular antioxidant defense, and reduces oxidized glutathione disulfide (GSSG) to the sulfhydryl form GSH, which is an important cellular antioxidant. Rare mutations in this gene result in hereditary glutathione reductase deficiency. Multiple alternatively spliced transcript variants encoding different isoforms have been found. [provided by RefSeq, Aug 2010]	not provided	criteria provided, single submitter	Benign	1276408	https://www.ncbi.nlm.nih.gov/clinvar/variation/1276408	rs1002149 is located in chr8 chromosome with position 30728221 which is in the gene GSR. This gene has the following description: This gene encodes a member of the class-I pyridine nucleotide-disulfide oxidoreductase family. This enzyme is a homodimeric flavoprotein. It is a central enzyme of cellular antioxidant defense, and reduces oxidized glutathione disulfide (GSSG) to the sulfhydryl form GSH, which is an important cellular antioxidant. Rare mutations in this gene result in hereditary glutathione reductase deficiency. Multiple alternatively spliced transcript variants encoding different isoforms have been found. [provided by RefSeq, Aug 2010] This SNP can be associated with not provided. Those associations have Benign clinical significance and have review status: criteria provided, single submitter. rs1002149has the following disease references: MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/1276408
